Epoch,Total Steps,Avg Training Loss,Avg Validation Loss,Time per Epoch (seconds),Generated Sentence,Resource
1,121,7.097629409191037,6.859836616516113,905.9477667808533,The greatest victory is that which requires no battle. • • • The • • • • • • • The • • • The • The • The • • The • • The • • ,ArtOfWar.pdf
2,121,6.060415843301568,6.595299419091672,847.4881225824356,The greatest victory is that which requires no battle. The Army’s The Army’s The Army’s The Army’s The Army’s The Army’s The Army’s The Army The Army The,ArtOfWar.pdf
3,121,5.681321715520433,6.470265610577309,820.6655917167664,The greatest victory is that which requires no battle. • Army’s and • St are • Fort and • Army’s and • Army • Army’s and • Fort and • Army • Army’s and • Army�,ArtOfWar.pdf
4,121,5.234130950013468,6.405333356758983,808.2368396520615,The greatest victory is that which requires no battle. • The Army • The Army • The Army • The Army • The Army • The Army • The Army • The Army • The Army • The Army • The Army • The Army •,ArtOfWar.pdf
5,121,4.750137928103612,6.36847202048814,806.9170926570893,The greatest victory is that which requires no battle. • G. • G” • G” and • G” • G. • G• G. • Gor of the • G” • G” • G to,ArtOfWar.pdf
6,121,4.19833832535862,6.359333720925736,805.7265239556631,"The greatest victory is that which requires no battle. • 19, • MEO • Who or • 19 on the • 19K • Housing • MEO • MEO • MEO • Co and • MEO • MEO •",ArtOfWar.pdf
7,121,3.5563601403196983,6.375074078054989,808.1159509250095,The greatest victory is that which requires no battle. P portfolio are those Soldiers will be 3. 3. 3. The Army is a Soldier’s right to the Army is a Soldier’s Blue Book. 3. The Army is a Soldier’s,ArtOfWar.pdf
8,121,2.869236408186353,6.418090808022883,814.4207344353199,"The greatest victory is that which requires no battle. E-5. PV. E-onetic with a military E-onetic E E-5-examine and battle drills, and (S. (S. E-onatrem",ArtOfWar.pdf
9,121,2.193238107626103,6.484589220186986,817.0886545446184,"The greatest victory is that which requires no battle. • Planings, religion, • Prompt and other Soldiers of the • Cleanlinessiological, • Funeral expenses. • Body Fat Standardsation of the and respect • Friending through merits (D), • Perform",ArtOfWar.pdf
10,121,1.5960563731587623,6.568514788446348,816.5695063352584,"The greatest victory is that which requires no battle. threats, afterwards. sensitive at the outer could mean 96TRADOC Pamphlet 600-4 The flag of the and a commitment to stand and a team and discipline and the public interaction. measures",ArtOfWar.pdf
1,60,7.500336201985677,7.456239779790242,853.0552997589111,"The greatest victory is that which requires no battle. •, and • • • of the • of the • • the • the • the •, and the • of the • the •, • •, and the ",ArtOfWar.pdf
2,60,6.08923548857371,6.934091150760651,762.1647806167603,The greatest victory is that which requires no battle. • The Army’s • The Army • The Army’s • The Army • The Army’s • The Army’s • Army’s • The Army • The Army,ArtOfWar.pdf
3,60,5.494346245129903,6.6898950470818415,733.6468833287557,"The greatest victory is that which requires no battle. • The Army. • Army. • Army. • Army Ethic, • Army. • Army Ethic, • Army’s and • Army. • Army • Army Ethic, and",ArtOfWar.pdf
4,60,4.950621883074443,6.5355624457200365,724.2258377671242,"The greatest victory is that which requires no battle. Army, and the the Army is a the U. and the Army is the Army, and the and of the the Army’s and the the first unit of the the Army. the Army",ArtOfWar.pdf
5,60,4.4332561731338505,6.428857604662578,715.9795336723328,"The greatest victory is that which requires no battle. The Army’s and • The • The • The Army. • If you are • The Army. • Army • The Army Ethic, and • If • The Army • The Army",ArtOfWar.pdf
6,60,3.898602465788523,6.363627466890547,709.450971921285,"The greatest victory is that which requires no battle. The Army Values, and the Army Values, and the Army Values, and the Army Values, and the Army Values, and the Army Values and and of and the Army Values, and the Army Values, the Army",ArtOfWar.pdf
7,60,3.3261483788490294,6.3199215559732345,705.9186699731009,"The greatest victory is that which requires no battle. The Soldier’s Creed • Use a Soldier’s foot, or • Ass • Use or sexual assault, or • If you • Clean- • If you are • If you should be your ",ArtOfWar.pdf
8,60,2.7299706975619,6.3054736604293184,708.0769551992416,"The greatest victory is that which requires no battle. • If you are not only on the other in • If you with the Army’s Creed, • Fort Leonard Wood, • If you • Clean that they do and always, • When the Army. •",ArtOfWar.pdf
9,60,2.1723715901374816,6.311091599641023,708.4951328436533,The greatest victory is that which requires no battle. Figure 4-1. Army 2. The Army’s Army Professionals and Army’s and The Army Soldiers to live the Army’s (S. The Army’s Army. 9-,ArtOfWar.pdf
10,60,1.6720630466938018,6.329624092578888,710.4579598665238,"The greatest victory is that which requires no battle. assignment (FUA). • Difficulty speaking, or utilities • Anonymous: • Assume the position of the commander. • Inspector General • MEO Hotline (like • Who is to be used at the front",ArtOfWar.pdf
11,60,1.2394301315148673,6.357491980899464,707.3956690918316,The greatest victory is that which requires no battle. • Are you need the Army’s • Who is generally the same length giving a day and • 19D (Cavalry Scout) • MEO Hotline • Friending through merits (Carry (Carry,ArtOfWar.pdf
12,60,0.8772209177414576,6.389829446872075,702.0363668004671,"The greatest victory is that which requires no battle. • Gently pull from BCT to AIT you • The more than just stop the Army. • 19D (Cavalry Scout) OSUT – 22-wide initiative to educate, • Resume your body fat exceeds",ArtOfWar.pdf
13,60,0.6186422804991404,6.429402730403802,697.6485937008491,"The greatest victory is that which requires no battle. Always attempt to resolve problems at the lowest possible level in an organization. All submitted complaints are investigated. counseling, all revalidated annually. prohibited locations). they make. Females who",ArtOfWar.pdf
14,60,0.4250387107332548,6.470462532270522,693.1691274302347,"The greatest victory is that which requires no battle. Always attempt to resolve problems at the lowest possible level in an organization. All submitted complaints are investigated. Personnel found in violation of the MEO Policy are subject to punishment under the UCMJ. Within reason, Soldiers and other",ArtOfWar.pdf
15,60,0.29738911539316176,6.517082823647393,690.5031880060832,"The greatest victory is that which requires no battle. Always attempt to resolve problems at the lowest possible level in an organization. All submitted complaints are investigated. Personnel found in violation of the MEO Policy are subject to punishment under the UCMJ. Within reason, Soldiers and other",ArtOfWar.pdf
16,60,0.21143165578444797,6.56507699439923,689.635145753622,"The greatest victory is that which requires no battle. Always attempt to resolve problems at the lowest possible level in an organization. All submitted complaints are investigated. Personnel found in violation of the MEO Policy are subject to punishment under the UCMJ. Within reason, Soldiers and other",ArtOfWar.pdf
17,60,0.15386259853839873,6.611526582755294,685.5390279012568,"The greatest victory is that which requires no battle. Always attempt to resolve problems at the lowest possible level in an organization. All submitted complaints are investigated. Personnel found in violation of the MEO Policy are subject to punishment under the UCMJ. Within reason, Soldiers and other",ArtOfWar.pdf
18,60,0.11423102356493472,6.6577544896690934,681.114326013459,"The greatest victory is that which requires no battle. Always attempt to resolve problems at the lowest possible level in an organization. All submitted complaints are investigated. Personnel found in violation of the MEO Policy are subject to punishment under the UCMJ. Within reason, Soldiers and other",ArtOfWar.pdf
19,60,0.09029047141472499,6.701420788179364,679.1702161086233,"The greatest victory is that which requires no battle. Always attempt to resolve problems at the lowest possible level in an organization. All submitted complaints are investigated. Personnel found in violation of the MEO Policy are subject to punishment under the UCMJ. Within reason, Soldiers and other",ArtOfWar.pdf
20,60,0.07336978254218897,6.749785689512889,676.3889183998108,"The greatest victory is that which requires no battle. Always attempt to resolve problems at the lowest possible level in an organization. All submitted complaints are investigated. Personnel found in violation of the MEO Policy are subject to punishment under the UCMJ. Within reason, Soldiers and other",ArtOfWar.pdf
1,60,7.500336201985677,7.456239779790242,640.2523992061615,"The greatest victory is that which requires no battle. •, and • • • of the • of the • • the • the • the •, and the • of the • the •, • •, and the ",ArtOfWar.pdf
2,60,6.08923548857371,6.934091150760651,614.1121519804001,The greatest victory is that which requires no battle. • The Army’s • The Army • The Army’s • The Army • The Army’s • The Army’s • Army’s • The Army • The Army,ArtOfWar.pdf
3,60,5.494346245129903,6.6898950470818415,617.4559607505798,"The greatest victory is that which requires no battle. • The Army. • Army. • Army. • Army Ethic, • Army. • Army Ethic, • Army’s and • Army. • Army • Army Ethic, and",ArtOfWar.pdf
4,60,4.950621883074443,6.5355624457200365,630.8531982302666,"The greatest victory is that which requires no battle. Army, and the the Army is a the U. and the Army is the Army, and the and of the the Army’s and the the first unit of the the Army. the Army",ArtOfWar.pdf
